Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Trader,Graduate,0.46,0,107780,Hyderabad,Rent,2W,4,27166,18303,No,Sometimes Late,100.0,85.0,85.0,2.3,100.0,80.0,83.02,60.0,74.41,372.07,74.41
Farmer,10th,7.37,3,38526,Nizamabad,Family,2W,3,11512,8589,No,Always On Time,38.53,70.0,65.0,36.85,50.0,80.0,77.71,60.0,59.76,298.8,59.76
Labour,12th,17.74,1,81094,Warangal,Own,2W,1,9085,5078,No,Sometimes Late,81.09,60.0,75.0,88.7,83.33,80.0,93.74,60.0,77.73,388.67,77.73
Labour,12th,2.65,0,119115,Medchal,Rent,None,2,48184,5367,Yes,Sometimes Late,100.0,60.0,75.0,13.25,100.0,80.0,95.49,60.0,72.97,364.84,72.97
Labour,10th,15.37,4,97455,Mahabubabad,Family,2W,3,49762,16843,No,Regularly Late,97.46,60.0,65.0,76.85,33.33,80.0,82.72,60.0,69.42,347.1,69.42
Government,Postgraduate,8.29,1,33622,Mahabubabad,Own,2W,2,15938,14611,No,Always On Time,33.62,100.0,100.0,41.45,83.33,80.0,56.54,60.0,69.37,346.84,69.37
Gig Worker,Postgraduate,1.51,3,96450,Nizamabad,Rent,None,1,8218,45113,Yes,Sometimes Late,96.45,75.0,100.0,7.55,50.0,80.0,53.23,60.0,65.28,326.39,65.28
Government,Postgraduate,0.85,2,16237,Jagtial,Rent,Car,2,9481,6726,Yes,Regularly Late,16.24,100.0,100.0,4.25,66.67,80.0,58.58,60.0,60.72,303.58,60.72
Trader,12th,5.73,2,20067,Hyderabad,Own,2W,4,4552,3426,Yes,Always On Time,20.07,85.0,75.0,28.65,66.67,80.0,82.93,90.0,66.04,330.19,66.04
Government,Graduate,2.46,4,10706,Mahabubabad,Own,None,4,3483,3820,Yes,Regularly Late,10.71,100.0,85.0,12.3,33.33,80.0,64.32,60.0,55.71,278.54,55.71
Government,12th,0.4,2,21596,Khammam,Own,Car,2,3643,2680,Yes,Sometimes Late,21.6,100.0,75.0,2.0,66.67,80.0,87.59,60.0,61.61,308.03,61.61
Gig Worker,Graduate,6.04,1,32289,Karimnagar,Rent,2W,1,18390,7575,No,Sometimes Late,32.29,75.0,85.0,30.2,83.33,80.0,76.54,60.0,65.3,326.48,65.3
Government,10th,1.22,4,97574,Nizamabad,Family,None,4,32599,3970,No,Regularly Late,97.57,100.0,65.0,6.1,33.33,80.0,95.93,60.0,67.24,336.21,67.24
Trader,Postgraduate,8.03,4,48706,Mahabubabad,Rent,2W,1,21895,21995,No,Regularly Late,48.71,85.0,100.0,40.15,33.33,80.0,54.84,60.0,62.75,313.77,62.75
Farmer,10th,12.4,4,56104,Medak,Family,Car,2,12276,26996,No,Sometimes Late,56.1,70.0,65.0,62.0,33.33,80.0,51.88,60.0,59.79,298.95,59.79
Labour,Graduate,6.13,3,92239,Mancherial,Family,Car,2,50415,24447,Yes,Always On Time,92.24,60.0,85.0,30.65,50.0,80.0,73.5,90.0,70.17,350.87,70.17
Gig Worker,Graduate,13.07,5,91108,Kamareddy,Family,Car,2,46584,26248,Yes,Always On Time,91.11,75.0,85.0,65.35,16.67,80.0,71.19,90.0,71.79,358.95,71.79
Gig Worker,Graduate,1.15,4,44976,Jagtial,Own,None,3,16897,11381,Yes,Always On Time,44.98,75.0,85.0,5.75,33.33,80.0,74.7,90.0,61.09,305.47,61.09
Farmer,12th,2.07,4,65206,Bhadradri Kothagudem,Rent,Car,4,7572,5897,Yes,Always On Time,65.21,70.0,75.0,10.35,33.33,80.0,90.96,90.0,64.36,321.78,64.36
Government,10th,1.91,0,106854,Hyderabad,Rent,Car,4,20158,10737,Yes,Regularly Late,100.0,100.0,65.0,9.55,100.0,80.0,89.95,60.0,75.56,377.81,75.56
Gig Worker,10th,17.91,0,97773,Medak,Own,2W,3,25171,17793,Yes,Always On Time,97.77,75.0,65.0,89.55,100.0,80.0,81.8,90.0,84.89,424.45,84.89
Trader,Postgraduate,8.87,0,91413,Siddipet,Own,None,2,5592,28327,No,Sometimes Late,91.41,85.0,100.0,44.35,100.0,80.0,69.01,60.0,78.72,393.61,78.72
Government,Graduate,4.39,4,31848,Adilabad,Rent,None,3,4569,5688,No,Regularly Late,31.85,100.0,85.0,21.95,33.33,80.0,82.14,60.0,61.78,308.92,61.78
Farmer,Postgraduate,16.18,0,86992,Karimnagar,Rent,Car,3,50479,38433,No,Always On Time,86.99,70.0,100.0,80.9,100.0,80.0,55.82,60.0,79.21,396.07,79.21
Trader,10th,9.35,5,32334,Adilabad,Own,2W,2,5205,1831,Yes,Sometimes Late,32.33,85.0,65.0,46.75,16.67,80.0,94.34,60.0,60.01,300.06,60.01
Government,Postgraduate,10.49,2,109836,Adilabad,Family,Car,4,31493,46331,Yes,Sometimes Late,100.0,100.0,100.0,52.45,66.67,80.0,57.82,60.0,77.12,385.58,77.12
Trader,12th,6.8,5,32567,Jagtial,Family,2W,1,4262,14999,No,Always On Time,32.57,85.0,75.0,34.0,16.67,80.0,53.95,60.0,54.65,273.24,54.65
Government,10th,12.83,3,66081,Rangareddy,Family,None,4,34695,26947,Yes,Regularly Late,66.08,100.0,65.0,64.15,50.0,80.0,59.22,60.0,68.06,340.28,68.06
Government,Graduate,6.63,3,100302,Medchal,Own,Car,2,23545,39034,Yes,Regularly Late,100.0,100.0,85.0,33.15,50.0,80.0,61.08,60.0,71.15,355.77,71.15
Farmer,10th,8.18,4,32639,Jagtial,Family,None,2,6879,6322,Yes,Sometimes Late,32.64,70.0,65.0,40.9,33.33,80.0,80.63,60.0,57.81,289.06,57.81
Government,12th,1.77,3,73758,Mahbubnagar,Own,2W,4,35451,26902,Yes,Sometimes Late,73.76,100.0,75.0,8.85,50.0,80.0,63.53,60.0,63.89,319.46,63.89
Farmer,Graduate,6.08,5,17525,Hyderabad,Family,Car,1,5126,4282,Yes,Sometimes Late,17.52,70.0,85.0,30.4,16.67,80.0,75.57,60.0,54.39,271.97,54.39
Gig Worker,12th,5.58,2,47314,Kamareddy,Family,2W,4,5591,7147,Yes,Regularly Late,47.31,75.0,75.0,27.9,66.67,80.0,84.89,60.0,64.6,322.98,64.6
Farmer,12th,14.4,5,40783,Mancherial,Own,None,4,8891,13621,Yes,Always On Time,40.78,70.0,75.0,72.0,16.67,80.0,66.6,90.0,63.88,319.41,63.88
Trader,Postgraduate,16.65,3,42229,Bhadradri Kothagudem,Rent,Car,2,16668,5927,Yes,Sometimes Late,42.23,85.0,100.0,83.25,50.0,80.0,85.96,60.0,73.31,366.53,73.31
Trader,10th,15.03,0,44752,Bhadradri Kothagudem,Own,Car,3,9773,7203,No,Sometimes Late,44.75,85.0,65.0,75.15,100.0,80.0,83.9,60.0,74.23,371.13,74.23
Trader,10th,5.99,3,8566,Rangareddy,Own,2W,3,3349,2176,Yes,Sometimes Late,8.57,85.0,65.0,29.95,50.0,80.0,74.6,60.0,56.64,283.2,56.64
Trader,10th,15.24,3,66154,Khammam,Family,Car,4,32120,16595,Yes,Sometimes Late,66.15,85.0,65.0,76.2,50.0,80.0,74.91,60.0,69.66,348.29,69.66
Farmer,Graduate,1.64,4,118338,Khammam,Own,None,2,65666,28495,No,Always On Time,100.0,70.0,85.0,8.2,33.33,80.0,75.92,60.0,64.06,320.28,64.06
Labour,Graduate,10.74,4,65904,Nalgonda,Family,None,3,36196,24571,No,Regularly Late,65.9,60.0,85.0,53.7,33.33,80.0,62.72,60.0,62.58,312.91,62.58
Labour,Postgraduate,18.37,4,92385,Karimnagar,Own,2W,3,42562,22650,Yes,Regularly Late,92.38,60.0,100.0,91.85,33.33,80.0,75.48,60.0,74.13,370.66,74.13
Labour,12th,13.42,3,51460,Siddipet,Family,None,3,13890,10159,Yes,Always On Time,51.46,60.0,75.0,67.1,50.0,80.0,80.26,90.0,69.23,346.14,69.23
Labour,Postgraduate,9.33,0,21410,Karimnagar,Family,2W,3,4893,6974,Yes,Sometimes Late,21.41,60.0,100.0,46.65,100.0,80.0,67.43,60.0,66.94,334.68,66.94
Farmer,10th,7.18,5,118918,Mancherial,Rent,2W,4,65161,57662,Yes,Sometimes Late,100.0,70.0,65.0,35.9,16.67,80.0,51.51,60.0,59.88,299.42,59.88
Trader,Postgraduate,12.95,2,17787,Karimnagar,Family,None,4,5636,3159,Yes,Sometimes Late,17.79,85.0,100.0,64.75,66.67,80.0,82.24,60.0,69.56,347.78,69.56
Government,Postgraduate,10.42,2,94787,Mancherial,Rent,Car,4,52532,19446,No,Regularly Late,94.79,100.0,100.0,52.1,66.67,80.0,79.48,60.0,79.13,395.65,79.13
Trader,10th,13.26,3,46182,Rangareddy,Own,Car,2,3168,7266,No,Sometimes Late,46.18,85.0,65.0,66.3,50.0,80.0,84.27,60.0,67.09,335.47,67.09
Farmer,Postgraduate,13.13,4,117642,Nizamabad,Family,Car,4,52597,15698,Yes,Sometimes Late,100.0,70.0,100.0,65.65,33.33,80.0,86.66,60.0,74.45,372.27,74.45
Farmer,Graduate,4.77,1,23592,Kamareddy,Family,2W,2,6615,6756,No,Regularly Late,23.59,70.0,85.0,23.85,83.33,80.0,71.36,60.0,62.14,310.71,62.14
Government,12th,1.8,2,108014,Warangal,Rent,None,2,37349,47637,No,Sometimes Late,100.0,100.0,75.0,9.0,66.67,80.0,55.9,60.0,68.32,341.6,68.32
Government,Postgraduate,0.55,1,84441,Warangal,Family,Car,1,34587,32671,Yes,Sometimes Late,84.44,100.0,100.0,2.75,83.33,80.0,61.31,60.0,71.48,357.4,71.48
Labour,12th,10.98,0,80062,Khammam,Family,2W,4,7770,12035,No,Always On Time,80.06,60.0,75.0,54.9,100.0,80.0,84.97,60.0,74.37,371.83,74.37
Farmer,10th,19.88,4,37742,Medchal,Own,Car,4,8135,6487,No,Always On Time,37.74,70.0,65.0,99.4,33.33,80.0,82.81,60.0,66.04,330.18,66.04
Government,Postgraduate,18.34,0,101928,Karimnagar,Family,Car,4,49518,29114,Yes,Sometimes Late,100.0,100.0,100.0,91.7,100.0,80.0,71.44,60.0,87.89,439.46,87.89
Trader,10th,19.02,1,39335,Adilabad,Rent,Car,1,14000,6986,Yes,Always On Time,39.34,85.0,65.0,95.1,83.33,80.0,82.24,90.0,77.5,387.51,77.5
Trader,12th,3.49,5,99815,Rangareddy,Family,Car,3,36348,3909,Yes,Sometimes Late,99.82,85.0,75.0,17.45,16.67,80.0,96.08,60.0,66.25,331.26,66.25
Government,10th,14.36,4,61923,Mahbubnagar,Own,2W,2,9927,26379,Yes,Always On Time,61.92,100.0,65.0,71.8,33.33,80.0,57.4,90.0,69.93,349.66,69.93
Gig Worker,12th,18.24,5,55916,Karimnagar,Own,2W,3,23251,9442,No,Sometimes Late,55.92,75.0,75.0,91.2,16.67,80.0,83.11,60.0,67.11,335.56,67.11
Gig Worker,Postgraduate,0.42,1,105647,Mahabubabad,Family,Car,4,13194,47871,Yes,Regularly Late,100.0,75.0,100.0,2.1,83.33,80.0,54.69,60.0,69.39,346.95,69.39
Farmer,10th,7.68,2,68886,Nalgonda,Rent,None,4,41064,16327,Yes,Always On Time,68.89,70.0,65.0,38.4,66.67,80.0,76.3,90.0,69.41,347.03,69.41
Government,Postgraduate,10.22,3,91483,Nizamabad,Rent,None,3,27694,20619,Yes,Regularly Late,91.48,100.0,100.0,51.1,50.0,80.0,77.46,60.0,76.26,381.28,76.26
Trader,Graduate,11.57,3,59548,Karimnagar,Family,Car,2,29983,11426,No,Always On Time,59.55,85.0,85.0,57.85,50.0,80.0,80.81,60.0,69.78,348.88,69.78
Trader,Postgraduate,14.94,4,113395,Kamareddy,Family,None,4,37655,28716,No,Regularly Late,100.0,85.0,100.0,74.7,33.33,80.0,74.68,60.0,75.96,379.82,75.96
Trader,Graduate,4.71,2,54468,Warangal,Own,Car,1,5273,11306,Yes,Regularly Late,54.47,85.0,85.0,23.55,66.67,80.0,79.24,60.0,66.74,333.7,66.74
Gig Worker,Graduate,19.74,3,69977,Kamareddy,Own,None,2,5515,6162,Yes,Sometimes Late,69.98,75.0,85.0,98.7,50.0,80.0,91.19,60.0,76.23,381.17,76.23
Government,12th,18.96,3,47290,Jagtial,Family,Car,2,20601,22041,No,Always On Time,47.29,100.0,75.0,94.8,50.0,80.0,53.39,60.0,70.06,350.3,70.06
Labour,Graduate,11.31,0,85059,Karimnagar,Rent,2W,3,38804,10608,Yes,Always On Time,85.06,60.0,85.0,56.55,100.0,80.0,87.53,90.0,80.52,402.59,80.52
Government,10th,9.29,5,65997,Siddipet,Rent,Car,4,8788,28035,No,Sometimes Late,66.0,100.0,65.0,46.45,16.67,80.0,57.52,60.0,61.45,307.27,61.45
Trader,12th,3.63,1,37505,Mahabubabad,Family,Car,2,9539,15422,No,Regularly Late,37.51,85.0,75.0,18.15,83.33,80.0,58.88,60.0,62.23,311.17,62.23
Trader,Postgraduate,7.25,5,11257,Hyderabad,Family,Car,4,3044,5490,No,Sometimes Late,11.26,85.0,100.0,36.25,16.67,80.0,51.23,60.0,55.05,275.26,55.05
Government,10th,10.74,0,86672,Siddipet,Rent,None,3,20789,15994,Yes,Sometimes Late,86.67,100.0,65.0,53.7,100.0,80.0,81.55,60.0,78.36,391.82,78.36
Trader,Graduate,0.62,1,34221,Medak,Own,Car,3,8079,225,Yes,Regularly Late,34.22,85.0,85.0,3.1,83.33,80.0,99.34,60.0,66.25,331.25,66.25
Government,Graduate,8.7,3,65828,Rangareddy,Family,None,2,5095,3033,No,Regularly Late,65.83,100.0,85.0,43.5,50.0,80.0,95.39,60.0,72.47,362.33,72.47
Gig Worker,10th,9.28,3,43504,Nizamabad,Family,None,2,25033,10289,No,Regularly Late,43.5,75.0,65.0,46.4,50.0,80.0,76.35,60.0,62.03,310.16,62.03
Government,10th,12.66,4,64554,Bhadradri Kothagudem,Family,Car,1,31371,14994,No,Regularly Late,64.55,100.0,65.0,63.3,33.33,80.0,76.77,60.0,67.87,339.35,67.87
Gig Worker,12th,17.0,0,113319,Hyderabad,Own,2W,2,62275,7191,Yes,Always On Time,100.0,75.0,75.0,85.0,100.0,80.0,93.65,90.0,87.33,436.66,87.33
Gig Worker,10th,7.83,1,44812,Kamareddy,Own,2W,1,4596,5051,No,Regularly Late,44.81,75.0,65.0,39.15,83.33,80.0,88.73,60.0,67.0,335.02,67.0
Farmer,Graduate,8.79,5,89838,Jagtial,Family,Car,4,38078,16401,Yes,Always On Time,89.84,70.0,85.0,43.95,16.67,80.0,81.74,90.0,69.65,348.25,69.65
Trader,Graduate,3.9,1,62905,Kamareddy,Own,2W,4,21610,20497,No,Sometimes Late,62.9,85.0,85.0,19.5,83.33,80.0,67.42,60.0,67.89,339.47,67.89
Labour,Graduate,16.15,1,32787,Kamareddy,Own,Car,4,18337,12946,No,Sometimes Late,32.79,60.0,85.0,80.75,83.33,80.0,60.52,60.0,67.8,338.99,67.8
Gig Worker,12th,2.48,1,35294,Kamareddy,Family,Car,1,9969,11433,Yes,Sometimes Late,35.29,75.0,75.0,12.4,83.33,80.0,67.61,60.0,61.08,305.4,61.08
Government,Postgraduate,18.64,0,19298,Medchal,Family,2W,4,8155,2415,Yes,Sometimes Late,19.3,100.0,100.0,93.2,100.0,80.0,87.49,60.0,80.0,399.99,80.0
Government,12th,4.16,0,78094,Nalgonda,Own,2W,1,27459,7865,No,Regularly Late,78.09,100.0,75.0,20.8,100.0,80.0,89.93,60.0,75.48,377.39,75.48
Gig Worker,Graduate,7.83,2,49649,Mahbubnagar,Own,2W,1,6969,3804,No,Regularly Late,49.65,75.0,85.0,39.15,66.67,80.0,92.34,60.0,68.48,342.38,68.48
Gig Worker,12th,13.76,3,65798,Medchal,Family,2W,4,21579,16978,No,Sometimes Late,65.8,75.0,75.0,68.8,50.0,80.0,74.2,60.0,68.6,343.0,68.6
Farmer,12th,7.3,1,29116,Nalgonda,Family,Car,1,15964,6654,Yes,Always On Time,29.12,70.0,75.0,36.5,83.33,80.0,77.15,90.0,67.64,338.19,67.64
Government,12th,15.36,5,102610,Bhadradri Kothagudem,Own,Car,1,24869,107,No,Regularly Late,100.0,100.0,75.0,76.8,16.67,80.0,99.9,60.0,76.05,380.23,76.05
Trader,12th,4.14,2,20507,Hyderabad,Own,None,2,5299,1949,Yes,Always On Time,20.51,85.0,75.0,20.7,66.67,80.0,90.5,90.0,66.05,330.23,66.05
Labour,12th,5.06,4,102414,Hyderabad,Own,None,2,8207,5784,No,Always On Time,100.0,60.0,75.0,25.3,33.33,80.0,94.35,60.0,66.0,329.99,66.0
Trader,Graduate,7.01,2,68205,Nizamabad,Own,Car,4,18582,24805,Yes,Sometimes Late,68.2,85.0,85.0,35.05,66.67,80.0,63.63,60.0,67.94,339.72,67.94
Labour,Postgraduate,5.15,0,119149,Siddipet,Rent,None,3,63936,4477,No,Always On Time,100.0,60.0,100.0,25.75,100.0,80.0,96.24,60.0,77.75,388.75,77.75
Trader,10th,1.25,2,109703,Nalgonda,Family,Car,2,31605,7635,No,Regularly Late,100.0,85.0,65.0,6.25,66.67,80.0,93.04,60.0,69.49,347.47,69.49
Government,12th,18.72,4,72394,Mancherial,Rent,Car,2,39079,2120,No,Sometimes Late,72.39,100.0,75.0,93.6,33.33,80.0,97.07,60.0,76.42,382.12,76.42
Farmer,12th,7.41,3,64191,Kamareddy,Rent,None,3,26649,25139,Yes,Always On Time,64.19,70.0,75.0,37.05,50.0,80.0,60.84,90.0,65.88,329.42,65.88
Government,12th,9.52,0,117575,Nizamabad,Family,2W,2,20578,13912,No,Regularly Late,100.0,100.0,75.0,47.6,100.0,80.0,88.17,60.0,81.35,406.73,81.35
Gig Worker,Graduate,2.92,5,115541,Adilabad,Rent,2W,3,57316,35364,No,Sometimes Late,100.0,75.0,85.0,14.6,16.67,80.0,69.39,60.0,62.58,312.91,62.58
Trader,Postgraduate,4.38,4,115534,Mahbubnagar,Family,None,3,11550,3825,No,Always On Time,100.0,85.0,100.0,21.9,33.33,80.0,96.69,60.0,72.12,360.58,72.12
Labour,Graduate,15.78,0,57109,Nalgonda,Family,Car,3,16012,5379,Yes,Sometimes Late,57.11,60.0,85.0,78.9,100.0,80.0,90.58,60.0,76.45,382.24,76.45
Labour,Graduate,14.21,2,106762,Kamareddy,Own,2W,2,57770,52445,No,Sometimes Late,100.0,60.0,85.0,71.05,66.67,80.0,50.88,60.0,71.7,358.5,71.7
Government,Graduate,8.32,3,105027,Hyderabad,Family,None,1,54992,45165,No,Regularly Late,100.0,100.0,85.0,41.6,50.0,80.0,57.0,60.0,71.7,358.5,71.7
Labour,Graduate,13.93,3,53199,Khammam,Own,None,4,23212,12355,Yes,Sometimes Late,53.2,60.0,85.0,69.65,50.0,80.0,76.78,60.0,66.83,334.14,66.83
