employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Private,Graduate,19.7,4,30225,Medak,Family,Car,3,14370,27635,No,Rarely Paid,51.33,256.65
Retired,Graduate,15.5,1,25754,Rangareddy,Family,Car,1,25822,3095,No,Sometimes Late,52.79,263.95
Labour,Postgraduate,3.0,4,20471,Mahbubnagar,Family,None,3,15973,18812,Yes,Always On Time,21.4,107.0
Other,12th,0.3,1,10425,Bhadradri Kothagudem,Family,None,3,43294,8565,No,Always On Time,22.33,111.65
Private,12th,12.5,5,45458,Rangareddy,Family,Car,1,52797,44488,Yes,Regularly Late,44.81,224.05
Labour,Graduate,10.4,5,71967,Medchal,Own,None,4,17192,38925,No,Always On Time,54.92,274.6
Other,12th,0.5,2,30720,Medak,Own,Car,4,56757,42886,No,Sometimes Late,29.44,147.2
Other,10th,13.4,4,21417,Mahbubnagar,Rent,None,1,48684,9379,Yes,Rarely Paid,37.48,187.4
Retired,Graduate,7.3,3,43935,Kamareddy,Family,Car,1,44923,40487,Yes,Sometimes Late,42.92,214.6
Unemployed,Postgraduate,10.9,3,61638,Nalgonda,Rent,None,3,34334,3560,No,Sometimes Late,57.17,285.85
Trader,12th,1.6,2,85121,Rangareddy,Own,None,4,13629,26773,No,Sometimes Late,58.29,291.45
Student,Postgraduate,6.2,2,47611,Mahabubabad,Rent,None,1,17633,34732,No,Always On Time,46.44,232.2
Gig Worker,12th,6.2,1,39121,Bhadradri Kothagudem,Rent,Car,1,36116,23173,No,Rarely Paid,45.53,227.65
Labour,10th,3.2,3,44847,Warangal,Family,2W,1,47301,47555,No,Rarely Paid,37.22,186.1
Unemployed,Primary,5.9,0,84091,Rangareddy,Rent,Car,2,38952,47194,Yes,Regularly Late,70.9,354.5
Gig Worker,10th,16.1,3,95955,Karimnagar,Own,None,1,33902,9301,Yes,Rarely Paid,82.13,410.65
Private,Primary,2.9,1,22409,Jagtial,Rent,Car,3,17680,42249,Yes,Always On Time,32.22,161.1
Student,Postgraduate,0.8,3,95765,Mahabubabad,Own,None,1,56438,14587,No,Sometimes Late,59.08,295.4
Private,10th,6.7,5,106397,Mancherial,Family,2W,3,18125,16677,Yes,Sometimes Late,63.38,316.9
Private,Graduate,8.1,1,36610,Warangal,Family,2W,2,15246,42083,No,Always On Time,47.12,235.6
Trader,Graduate,18.7,1,14324,Bhadradri Kothagudem,Own,2W,4,44141,31108,No,Always On Time,51.88,259.4
Retired,Primary,11.5,1,98029,Medak,Rent,None,1,14554,18204,No,Regularly Late,82.93,414.65
Retired,Primary,19.8,1,50779,Kamareddy,Rent,None,3,53948,33780,Yes,Sometimes Late,71.76,358.8
Trader,12th,2.0,4,114679,Bhadradri Kothagudem,Family,None,4,16295,22801,Yes,Sometimes Late,59.67,298.35
Retired,12th,3.8,2,68786,Medak,Own,None,3,52866,45294,No,Rarely Paid,53.43,267.15
Government,Graduate,13.8,0,39479,Jagtial,Family,Car,1,22427,24804,Yes,Regularly Late,60.44,302.2
Gig Worker,Primary,11.8,2,77893,Warangal,Rent,None,3,41670,32212,Yes,Always On Time,69.98,349.9
Government,Primary,17.9,2,21353,Medak,Own,None,3,56359,832,Yes,Always On Time,50.86,254.3
Trader,Primary,13.5,0,99241,Khammam,Rent,None,1,42016,41493,Yes,Always On Time,89.87,449.35
Farmer,12th,3.0,0,31559,Khammam,Rent,2W,4,3058,33518,No,Rarely Paid,40.28,201.4
Labour,Postgraduate,7.2,5,119915,Rangareddy,Family,2W,4,33473,35594,Yes,Always On Time,64.13,320.65
Student,Graduate,10.7,2,111358,Mancherial,Family,None,2,3116,8406,Yes,Regularly Late,79.38,396.9
Retired,Primary,14.1,2,37773,Nalgonda,Own,Car,4,53402,8,No,Rarely Paid,53.37,266.85
Gig Worker,Postgraduate,12.2,2,25807,Mahabubabad,Rent,2W,3,6741,40095,Yes,Rarely Paid,44.54,222.7
Farmer,Graduate,9.0,4,40972,Rangareddy,Rent,Car,2,57508,47192,No,Rarely Paid,40.65,203.25
Other,Postgraduate,12.0,2,88000,Rangareddy,Rent,2W,3,49054,30588,No,Always On Time,75.33,376.65
Private,Postgraduate,14.5,3,73577,Bhadradri Kothagudem,Family,None,1,32141,9793,No,Regularly Late,68.54,342.7
Unemployed,10th,19.6,3,22546,Adilabad,Rent,2W,3,16421,2630,No,Always On Time,50.67,253.35
Other,10th,15.1,2,114317,Jagtial,Family,Car,2,23440,30100,No,Sometimes Late,85.98,429.9
Retired,Primary,19.6,0,29777,Bhadradri Kothagudem,Family,None,3,59886,18379,No,Always On Time,64.29,321.45
Retired,Graduate,12.4,3,48221,Mahabubabad,Rent,Car,3,49843,10660,No,Regularly Late,52.71,263.55
Private,Postgraduate,20.0,0,83218,Medchal,Own,2W,3,41323,20045,Yes,Always On Time,91.61,458.05
Gig Worker,Primary,10.8,1,83399,Karimnagar,Own,Car,1,5896,30283,Yes,Always On Time,74.57,372.85
Other,Postgraduate,7.5,4,86100,Medak,Rent,None,1,20476,23184,Yes,Sometimes Late,60.97,304.85
Government,Graduate,7.9,4,50526,Kamareddy,Rent,None,4,11934,22995,No,Rarely Paid,43.78,218.9
Labour,12th,14.4,1,60813,Nizamabad,Own,Car,1,54438,13939,Yes,Always On Time,68.67,343.35
Other,Postgraduate,3.7,1,92918,Mahabubabad,Family,None,4,54482,27803,No,Sometimes Late,68.68,343.4
Labour,10th,14.8,3,107933,Medak,Rent,2W,3,29220,46782,No,Sometimes Late,82.2,411.0
Trader,12th,15.7,1,75722,Kamareddy,Rent,2W,4,39771,48753,Yes,Sometimes Late,78.08,390.4
Retired,Primary,17.9,1,92978,Nalgonda,Rent,None,4,23825,16786,No,Always On Time,90.01,450.05
Government,12th,1.4,4,98142,Khammam,Rent,None,1,15980,11027,No,Rarely Paid,57.84,289.2
Retired,12th,2.2,1,22445,Mahbubnagar,Rent,None,2,54702,11131,No,Always On Time,31.19,155.95
Self-Employed,Graduate,8.5,2,115995,Bhadradri Kothagudem,Family,None,2,43090,44607,No,Rarely Paid,76.08,380.4
Gig Worker,Primary,7.7,3,90136,Medak,Rent,None,2,40545,928,No,Regularly Late,66.62,333.1
Trader,12th,7.5,4,47694,Bhadradri Kothagudem,Own,None,2,41287,5371,Yes,Sometimes Late,41.76,208.8
Unemployed,Primary,12.7,0,99915,Khammam,Rent,None,2,19446,48223,No,Always On Time,89.01,445.05
Gig Worker,Graduate,1.0,2,52756,Nalgonda,Rent,None,2,59300,30366,Yes,Always On Time,41.21,206.05
Retired,12th,17.9,2,76044,Nalgonda,Family,2W,4,12832,48834,No,Regularly Late,78.21,391.05
Private,Primary,9.7,0,25407,Nalgonda,Own,2W,4,54210,26962,No,Rarely Paid,47.25,236.25
Unemployed,10th,4.2,0,56327,Rangareddy,Rent,None,1,52581,14757,Yes,Sometimes Late,54.46,272.3
Unemployed,Postgraduate,9.0,2,47017,Nalgonda,Rent,Car,3,47640,28868,No,Always On Time,50.34,251.7
Retired,Postgraduate,1.8,0,52021,Karimnagar,Family,Car,1,12495,23095,Yes,Sometimes Late,48.71,243.55
Self-Employed,Primary,1.5,5,116193,Rangareddy,Rent,Car,3,50750,560,No,Regularly Late,55.58,277.9
Trader,Primary,9.8,5,110219,Mahabubabad,Rent,Car,2,14683,19471,Yes,Regularly Late,68.03,340.15
Other,Postgraduate,8.5,0,29717,Mancherial,Family,2W,3,45043,21948,No,Rarely Paid,47.61,238.05
Retired,Postgraduate,1.7,5,92116,Mancherial,Rent,None,2,14353,11112,No,Sometimes Late,51.94,259.7
Gig Worker,12th,1.4,3,49058,Nalgonda,Family,None,4,9798,49636,No,Sometimes Late,36.63,183.15
Farmer,Primary,12.7,4,8143,Warangal,Family,2W,3,38122,32293,Yes,Regularly Late,29.79,148.95
Labour,Primary,18.6,3,17327,Siddipet,Rent,Car,4,49427,47255,Yes,Regularly Late,46.56,232.8
Government,Postgraduate,17.6,5,8604,Bhadradri Kothagudem,Family,Car,2,10536,17567,Yes,Rarely Paid,34.04,170.2
Private,Postgraduate,19.2,5,32170,Medak,Family,2W,3,44834,29295,Yes,Sometimes Late,48.22,241.1
Trader,Postgraduate,15.1,5,34382,Khammam,Family,None,1,6199,45977,Yes,Regularly Late,43.17,215.85
Other,Graduate,17.7,4,66588,Khammam,Own,None,2,14451,2625,Yes,Rarely Paid,66.51,332.55
Retired,10th,5.7,2,47857,Mancherial,Own,Car,1,55222,44899,No,Regularly Late,45.81,229.05
Student,Graduate,16.2,3,8476,Medak,Family,2W,4,52036,37617,Yes,Regularly Late,38.54,192.7
Other,12th,2.6,2,49667,Hyderabad,Family,None,1,31554,43532,Yes,Sometimes Late,42.07,210.35
Gig Worker,Primary,5.9,1,44973,Kamareddy,Own,None,1,44517,82,No,Rarely Paid,48.0,240.0
Retired,Primary,11.2,2,41242,Nizamabad,Own,Car,4,6949,28996,Yes,Sometimes Late,50.75,253.75
Government,10th,16.2,0,58415,Medak,Family,2W,1,12563,43531,Yes,Rarely Paid,73.51,367.55
Other,Postgraduate,5.1,4,26678,Jagtial,Family,Car,1,9687,4475,Yes,Sometimes Late,27.66,138.3
Student,10th,19.1,1,85887,Kamareddy,Own,None,4,33570,42202,Yes,Sometimes Late,88.26,441.3
Other,Primary,1.7,3,11314,Warangal,Family,None,3,6832,25300,No,Rarely Paid,18.21,91.05
Private,Graduate,14.1,3,8404,Khammam,Family,2W,2,16863,10884,Yes,Rarely Paid,35.35,176.75
Self-Employed,10th,18.9,5,112599,Bhadradri Kothagudem,Own,None,2,10595,6033,Yes,Sometimes Late,81.68,408.4
Other,12th,2.1,4,86012,Rangareddy,Rent,None,3,32964,4617,Yes,Regularly Late,52.82,264.1
Gig Worker,Primary,2.2,3,26522,Mancherial,Family,Car,4,22653,20626,No,Always On Time,26.56,132.8
Government,Primary,17.8,3,22036,Warangal,Family,None,3,41457,13687,Yes,Rarely Paid,47.72,238.6
Trader,Primary,4.9,3,112626,Mahabubabad,Own,None,4,10726,35953,Yes,Rarely Paid,67.35,336.75
Labour,10th,17.7,1,28842,Medak,Family,Car,4,5641,30756,Yes,Sometimes Late,57.64,288.2
Labour,10th,8.0,4,30028,Rangareddy,Family,None,1,22257,9175,Yes,Always On Time,33.68,168.4
Student,10th,0.8,4,55688,Adilabad,Rent,None,4,17607,15504,Yes,Sometimes Late,35.71,178.55
Other,Primary,5.7,4,52975,Mahabubabad,Own,None,1,52612,46917,No,Always On Time,41.7,208.5
Self-Employed,10th,19.1,4,8879,Karimnagar,Family,None,4,25877,40537,Yes,Rarely Paid,39.76,198.8
Gig Worker,12th,13.4,0,37404,Nizamabad,Rent,None,3,55575,43217,No,Rarely Paid,58.8,294.0
Unemployed,Primary,18.9,2,96083,Adilabad,Rent,None,1,59205,28489,No,Regularly Late,89.72,448.6
Other,Primary,6.7,2,89464,Mahbubnagar,Rent,None,3,3436,49454,Yes,Rarely Paid,68.12,340.6
Retired,12th,16.9,1,79605,Rangareddy,Rent,None,1,29069,33884,No,Rarely Paid,81.82,409.1
Government,12th,7.8,4,77685,Warangal,Rent,2W,1,58168,38275,No,Always On Time,57.21,286.05
Trader,12th,16.3,1,18259,Khammam,Family,Car,3,11461,38761,No,Rarely Paid,50.25,251.25
Labour,Primary,7.2,5,84844,Nizamabad,Family,None,2,30237,36250,Yes,Regularly Late,56.56,282.8
Labour,Postgraduate,6.8,2,63312,Jagtial,Rent,None,2,36547,20754,Yes,Always On Time,55.19,275.95
Student,10th,12.5,2,13709,Medchal,Own,None,3,20622,39618,Yes,Sometimes Late,38.94,194.7
Government,Graduate,6.1,4,101669,Karimnagar,Rent,None,2,19740,3182,No,Always On Time,65.82,329.1
Labour,10th,14.7,3,9336,Nizamabad,Family,Car,2,54393,18843,Yes,Sometimes Late,36.72,183.6
Private,12th,12.7,1,99429,Jagtial,Own,2W,2,28068,27232,No,Rarely Paid,85.43,427.15
Student,Graduate,7.6,3,55657,Jagtial,Own,None,2,3338,28623,Yes,Always On Time,49.23,246.15
Self-Employed,Postgraduate,8.6,2,98424,Medak,Rent,None,4,17196,31696,No,Regularly Late,75.45,377.25
Other,Primary,17.2,4,110637,Siddipet,Family,2W,4,41544,2087,No,Regularly Late,82.47,412.35
Private,Primary,0.0,5,94158,Khammam,Rent,None,3,42860,3245,Yes,Regularly Late,50.41,252.05
Farmer,12th,18.3,2,77158,Kamareddy,Rent,Car,2,28359,39473,Yes,Regularly Late,79.36,396.8
Self-Employed,12th,4.0,4,111723,Karimnagar,Rent,Car,3,55496,17332,No,Always On Time,62.67,313.35
Retired,Postgraduate,19.2,0,70002,Siddipet,Own,2W,1,56259,8689,No,Rarely Paid,83.8,419.0
Retired,Graduate,14.0,4,49616,Siddipet,Family,2W,2,17309,2430,No,Rarely Paid,52.47,262.35
Farmer,Graduate,14.1,2,9650,Karimnagar,Family,2W,4,32401,49431,No,Regularly Late,39.31,196.55
Student,Postgraduate,6.6,0,14646,Medak,Rent,2W,3,11983,45452,No,Sometimes Late,37.22,186.1
Gig Worker,10th,2.6,2,41801,Hyderabad,Family,Car,2,50077,2224,Yes,Sometimes Late,38.13,190.65
Gig Worker,Graduate,2.3,4,71623,Kamareddy,Rent,2W,4,33688,34636,No,Regularly Late,45.93,229.65
Labour,Primary,10.1,1,54235,Kamareddy,Own,2W,3,20438,44708,No,Sometimes Late,58.93,294.65
Trader,12th,10.3,3,87248,Warangal,Family,None,1,53841,45569,Yes,Rarely Paid,69.07,345.35
Other,10th,15.4,1,26286,Kamareddy,Own,None,2,39878,38127,Yes,Sometimes Late,52.91,264.55
Retired,10th,4.6,0,89171,Warangal,Family,None,2,42358,20613,Yes,Rarely Paid,71.49,357.45
Student,10th,7.4,2,90243,Medchal,Own,Car,3,28786,13074,No,Regularly Late,69.55,347.75
Other,Primary,1.8,1,85770,Mancherial,Rent,Car,1,37791,40670,No,Rarely Paid,62.25,311.25
Student,Graduate,5.9,5,80707,Nalgonda,Family,None,4,36909,27672,Yes,Rarely Paid,52.54,262.7
Gig Worker,Primary,3.1,4,82894,Bhadradri Kothagudem,Own,2W,2,46880,22081,No,Regularly Late,52.76,263.8
Other,10th,19.4,3,97574,Mancherial,Own,2W,1,40444,9424,Yes,Always On Time,87.89,439.45
Trader,Graduate,4.2,4,14476,Mahbubnagar,Family,2W,4,34586,2366,Yes,Regularly Late,20.2,101.0
Government,Postgraduate,12.3,0,53907,Adilabad,Rent,2W,4,58401,4975,Yes,Sometimes Late,65.4,327.0
Trader,Postgraduate,1.2,1,72621,Karimnagar,Own,2W,2,36601,7833,No,Sometimes Late,54.78,273.9
Self-Employed,Graduate,1.0,0,65248,Warangal,Own,2W,4,25994,25382,Yes,Rarely Paid,54.12,270.6
Gig Worker,10th,17.5,3,98223,Bhadradri Kothagudem,Rent,None,1,41732,49629,No,Rarely Paid,85.36,426.8
Government,Postgraduate,0.2,4,117039,Medchal,Family,None,4,16319,2112,No,Sometimes Late,56.97,284.85
Labour,12th,2.4,5,13222,Bhadradri Kothagudem,Rent,Car,3,20636,17253,No,Rarely Paid,13.54,67.7
Retired,Postgraduate,4.9,2,100366,Adilabad,Family,2W,3,52985,34452,No,Regularly Late,70.68,353.4
Unemployed,12th,3.4,0,76924,Mahabubabad,Family,Car,3,5810,10738,Yes,Rarely Paid,63.56,317.8
Student,Primary,4.9,5,99866,Medchal,Family,None,3,57594,33822,Yes,Rarely Paid,60.62,303.1
Retired,10th,6.9,2,63669,Rangareddy,Own,2W,3,41833,9015,Yes,Always On Time,55.52,277.6
Farmer,Primary,18.3,3,38082,Nalgonda,Family,Car,3,24034,16239,No,Always On Time,56.49,282.45
Labour,12th,13.0,1,70229,Medak,Family,None,4,43639,40185,No,Sometimes Late,71.28,356.4
Retired,Postgraduate,19.6,5,29957,Mancherial,Own,None,2,53564,30479,No,Rarely Paid,47.71,238.55
Gig Worker,Graduate,12.4,0,80119,Rangareddy,Rent,None,3,8445,46121,Yes,Sometimes Late,78.66,393.3
Student,12th,10.4,1,97608,Nizamabad,Own,2W,3,7328,35710,No,Sometimes Late,81.07,405.35
Government,Graduate,8.8,3,99289,Adilabad,Rent,2W,3,54239,9466,Yes,Rarely Paid,72.84,364.2
Self-Employed,Postgraduate,12.0,2,105957,Nizamabad,Family,2W,4,44890,17147,Yes,Regularly Late,81.33,406.65
Labour,10th,3.8,2,86458,Warangal,Family,2W,4,46219,14650,Yes,Sometimes Late,62.26,311.3
Government,Postgraduate,19.8,5,115396,Mahabubabad,Family,None,3,16578,37282,Yes,Always On Time,83.03,415.15
Labour,10th,10.7,2,8747,Medak,Rent,None,3,21840,26620,Yes,Rarely Paid,33.76,168.8
Other,12th,11.6,5,70414,Nizamabad,Own,Car,2,26478,41751,Yes,Always On Time,55.94,279.7
Trader,12th,0.8,1,69586,Karimnagar,Rent,None,2,37453,17765,Yes,Always On Time,52.66,263.3
Government,Primary,19.3,0,103189,Mancherial,Own,2W,3,41138,32615,Yes,Regularly Late,98.95,494.75
Government,Primary,11.2,3,28703,Warangal,Own,Car,4,7777,18335,No,Always On Time,41.15,205.75
Trader,10th,7.0,4,58497,Mahabubabad,Own,2W,3,46247,40909,No,Sometimes Late,46.42,232.1
Private,Postgraduate,1.0,2,72454,Medchal,Family,None,2,46847,9695,Yes,Always On Time,51.06,255.3
Self-Employed,10th,14.6,3,106717,Jagtial,Own,Car,3,40845,44074,No,Always On Time,81.9,409.5
Farmer,Primary,4.2,0,33070,Adilabad,Rent,Car,3,46000,42783,Yes,Always On Time,42.84,214.2
Trader,Postgraduate,2.3,1,12076,Jagtial,Family,Car,1,44765,33651,Yes,Sometimes Late,26.15,130.75
Labour,12th,14.7,3,69267,Mancherial,Own,2W,3,41183,45636,No,Always On Time,66.68,333.4
Trader,10th,5.6,2,118239,Khammam,Rent,2W,4,35770,7441,Yes,Rarely Paid,71.73,358.65
Gig Worker,Graduate,8.5,0,25534,Mahabubabad,Family,None,2,55198,48174,No,Sometimes Late,45.52,227.6
Labour,10th,2.8,4,79532,Siddipet,Family,2W,1,30089,18748,Yes,Always On Time,50.63,253.15
Retired,10th,18.2,5,110724,Mahabubabad,Family,2W,4,23781,6978,Yes,Sometimes Late,80.63,403.15
Farmer,Graduate,14.5,5,42520,Hyderabad,Family,Car,1,34631,13542,Yes,Rarely Paid,46.34,231.7
Other,12th,4.7,2,15396,Jagtial,Own,None,1,15141,25709,Yes,Always On Time,28.08,140.4
Labour,Graduate,18.1,5,77138,Khammam,Own,2W,4,42515,23724,Yes,Rarely Paid,69.05,345.25
Student,12th,7.3,3,27910,Siddipet,Own,None,2,18281,40875,No,Rarely Paid,34.9,174.5
Unemployed,12th,16.9,3,82780,Mahbubnagar,Own,2W,4,11764,32581,Yes,Rarely Paid,76.74,383.7
Gig Worker,Primary,19.9,1,77488,Siddipet,Family,Car,2,43482,8281,Yes,Always On Time,85.26,426.3
Farmer,Postgraduate,13.3,3,115805,Rangareddy,Rent,Car,1,50625,32355,No,Always On Time,79.95,399.75
Student,Postgraduate,14.2,2,43660,Mahbubnagar,Family,Car,4,29687,19714,Yes,Always On Time,56.46,282.3
Government,12th,9.3,1,93049,Kamareddy,Own,2W,2,20793,17916,Yes,Always On Time,77.14,385.7
Trader,Graduate,16.6,2,87171,Nizamabad,Own,Car,3,34132,23888,No,Regularly Late,81.82,409.1
Labour,Postgraduate,14.3,5,61726,Mahbubnagar,Rent,Car,1,49742,13318,Yes,Sometimes Late,55.65,278.25
Government,Graduate,17.3,0,69972,Mahbubnagar,Own,None,3,30689,31140,Yes,Regularly Late,80.94,404.7
Trader,10th,9.0,2,14053,Mahbubnagar,Rent,Car,3,15464,41413,Yes,Rarely Paid,33.86,169.3
Student,Primary,12.2,0,113490,Rangareddy,Rent,None,3,52945,28754,No,Always On Time,88.3,441.5
Trader,Primary,13.3,4,21674,Khammam,Own,2W,4,10381,25592,No,Sometimes Late,37.45,187.25
Unemployed,Postgraduate,10.6,1,71303,Kamareddy,Rent,2W,4,55271,35835,No,Sometimes Late,68.22,341.1
Gig Worker,Graduate,2.1,0,37858,Karimnagar,Rent,Car,4,55433,31713,Yes,Always On Time,42.08,210.4
Private,Postgraduate,15.9,3,26524,Warangal,Own,Car,3,44121,26357,Yes,Always On Time,47.11,235.55
Student,Primary,13.8,3,45646,Mahbubnagar,Own,None,1,55587,20299,No,Always On Time,53.52,267.6
Government,Postgraduate,18.4,4,70084,Karimnagar,Rent,None,2,38138,23993,No,Regularly Late,69.31,346.55
Student,Graduate,13.6,4,80846,Bhadradri Kothagudem,Own,None,1,13131,13747,Yes,Always On Time,67.49,337.45
Unemployed,Postgraduate,0.6,0,15255,Rangareddy,Family,2W,2,56155,42995,No,Always On Time,28.53,142.65
Gig Worker,Postgraduate,9.2,2,55752,Hyderabad,Family,Car,4,9557,33615,Yes,Always On Time,55.01,275.05
Unemployed,12th,14.8,5,102659,Mahbubnagar,Rent,None,4,28029,17205,No,Rarely Paid,75.53,377.65
Trader,10th,17.3,0,28671,Nizamabad,Rent,Car,1,16570,20581,No,Rarely Paid,60.29,301.45
Gig Worker,12th,8.9,3,92946,Mahbubnagar,Family,Car,4,18537,39176,No,Rarely Paid,69.82,349.1
Labour,Graduate,20.0,5,112506,Medak,Rent,Car,3,48253,11087,No,Rarely Paid,83.33,416.65
Unemployed,12th,9.3,3,43451,Siddipet,Family,Car,4,22562,253,Yes,Always On Time,45.68,228.4
Other,Primary,4.1,1,99135,Siddipet,Rent,2W,2,31100,16375,Yes,Regularly Late,72.38,361.9
Gig Worker,Graduate,11.8,0,25367,Medchal,Rent,None,2,19877,13822,No,Sometimes Late,50.38,251.9
Retired,12th,14.9,2,77996,Bhadradri Kothagudem,Rent,None,4,36070,43429,Yes,Sometimes Late,74.68,373.4
Self-Employed,Primary,14.1,2,112314,Adilabad,Rent,2W,4,29136,1898,Yes,Rarely Paid,84.48,422.4
Private,Postgraduate,14.0,0,33659,Rangareddy,Rent,Car,3,47583,21755,Yes,Always On Time,57.83,289.15
Government,12th,1.3,5,77567,Karimnagar,Family,2W,1,56373,811,Yes,Sometimes Late,44.07,220.35
Self-Employed,Primary,3.6,5,68414,Mancherial,Own,Car,3,38379,43500,No,Rarely Paid,42.94,214.7
