employment_type,education_level,job_stability_years,family_dependents,monthly_income,district,house_ownership_status,vehicle_ownership,active_bank_accounts,average_monthly_expenses,existing_emi_burden,emergency_savings_availability,utility_bill_payment_regularity,repayment_percent,final_score
Trader,Primary,18.11,4,9970,Mahabubabad,Rent,2W,2,35440,17938,Yes,Always On Time,38.82,190.1
Unemployed,10th,5.74,0,41508,Bhadradri Kothagudem,Rent,Car,2,22782,18767,Yes,Sometimes Late,49.36,264.8
Labour,Postgraduate,4.69,3,93007,Medchal,Family,2W,3,53197,19379,No,Sometimes Late,63.54,316.7
Gig Worker,Postgraduate,16.38,2,62557,Bhadradri Kothagudem,Family,2W,1,44452,27852,No,Sometimes Late,69.18,368.9
Farmer,12th,0.63,0,39549,Bhadradri Kothagudem,Own,Car,2,57719,35231,Yes,Always On Time,40.72,204.6
Unemployed,12th,2.99,4,61665,Warangal,Family,None,4,19147,2287,No,Sometimes Late,41.98,225.9
Labour,Primary,7.05,0,105497,Siddipet,Rent,2W,3,55845,31036,Yes,Sometimes Late,80.58,404.9
Farmer,10th,10.6,5,103829,Adilabad,Family,2W,4,45775,43065,No,Sometimes Late,69.23,336.15
Gig Worker,10th,12.04,5,30482,Kamareddy,Family,None,1,39262,32124,Yes,Rarely Paid,36.63,172.15
Labour,12th,2.67,3,65294,Medchal,Rent,Car,1,24679,38496,No,Rarely Paid,46.65,254.25
Gig Worker,Graduate,19.8,1,41918,Kamareddy,Family,2W,1,11996,24485,No,Rarely Paid,67.33,354.65
Gig Worker,Graduate,18.97,0,88949,Kamareddy,Own,None,3,39951,39844,Yes,Sometimes Late,92.93,441.65
Government,12th,1.37,2,62233,Nalgonda,Rent,2W,3,35431,7511,No,Sometimes Late,46.5,243.5
Trader,12th,16.1,1,110863,Bhadradri Kothagudem,Own,2W,2,55538,22653,No,Rarely Paid,90.82,435.1
Farmer,Postgraduate,10.69,3,55273,Nalgonda,Family,None,2,40079,13364,No,Rarely Paid,53.67,263.35
Government,10th,10.36,2,50121,Medak,Own,Car,2,58524,32735,No,Regularly Late,53.93,252.65
Farmer,Primary,12.28,1,42734,Rangareddy,Rent,None,4,53001,48493,Yes,Regularly Late,56.45,295.25
Labour,Primary,5.25,1,83119,Nizamabad,Own,Car,1,36515,12040,Yes,Sometimes Late,66.1,322.5
Trader,Postgraduate,5.61,3,21547,Siddipet,Own,None,3,22877,11755,Yes,Regularly Late,29.19,123.95
Unemployed,Graduate,7.77,4,62746,Kamareddy,Family,2W,3,19543,29029,Yes,Rarely Paid,49.69,247.45
Trader,12th,14.7,3,9219,Mahabubabad,Own,Car,3,36709,18633,No,Regularly Late,36.66,171.3
Trader,12th,10.4,3,23260,Siddipet,Own,None,1,53650,4369,No,Sometimes Late,37.23,210.15
Government,Postgraduate,14.7,1,16728,Nalgonda,Rent,2W,2,6370,21824,Yes,Always On Time,47.08,218.4
Gig Worker,Postgraduate,7.97,4,118956,Bhadradri Kothagudem,Rent,Car,1,20267,16580,Yes,Rarely Paid,68.62,343.1
Farmer,Primary,5.95,1,11453,Siddipet,Rent,2W,1,9607,40437,Yes,Always On Time,31.32,132.6
Farmer,12th,6.95,2,108168,Khammam,Rent,Car,4,9616,11038,Yes,Always On Time,73.76,362.8
Unemployed,10th,5.99,3,60034,Rangareddy,Rent,None,4,29386,9176,Yes,Always On Time,49.0,247.0
Unemployed,12th,12.1,3,95053,Khammam,Own,None,2,11949,45921,Yes,Rarely Paid,75.68,399.4
Gig Worker,12th,15.61,0,56863,Khammam,Own,None,2,10010,17252,No,Sometimes Late,71.85,340.25
Government,Postgraduate,12.04,1,27870,Jagtial,Own,Car,1,56233,41669,No,Rarely Paid,48.66,261.3
Gig Worker,10th,1.29,1,10999,Adilabad,Family,None,3,34852,11088,No,Sometimes Late,24.1,102.5
Unemployed,Postgraduate,19.64,4,30160,Adilabad,Family,None,3,40590,20384,No,Regularly Late,51.21,277.05
Labour,Primary,5.18,2,115501,Mahabubabad,Rent,2W,2,12928,9425,No,Regularly Late,71.1,364.5
Farmer,Postgraduate,5.97,0,41393,Medchal,Family,Car,3,32656,27173,Yes,Rarely Paid,49.65,236.25
Government,Primary,6.0,1,113327,Medak,Family,None,1,3411,23829,No,Regularly Late,75.67,369.35
Gig Worker,Graduate,12.93,0,35442,Rangareddy,Own,2W,1,27784,43394,Yes,Always On Time,57.12,295.6
Unemployed,Postgraduate,3.44,4,48642,Rangareddy,Family,Car,1,50295,46562,Yes,Sometimes Late,36.15,204.75
Government,12th,3.38,2,37826,Warangal,Family,2W,3,53281,47245,Yes,Always On Time,37.32,200.6
Farmer,Postgraduate,9.42,5,56020,Medchal,Own,Car,2,39961,38942,Yes,Rarely Paid,45.47,205.35
Unemployed,Postgraduate,0.45,2,77941,Mancherial,Own,Car,3,14982,27683,No,Always On Time,52.98,240.9
Trader,10th,13.06,2,116821,Rangareddy,Own,Car,4,10070,2869,Yes,Always On Time,82.92,394.6
Farmer,Postgraduate,1.97,0,85171,Jagtial,Rent,2W,3,9430,9839,Yes,Sometimes Late,65.54,343.7
Government,Graduate,6.06,1,72058,Hyderabad,Own,2W,4,39243,34977,Yes,Sometimes Late,61.79,286.95
Government,10th,9.46,1,8851,Hyderabad,Rent,Car,2,5068,12944,Yes,Regularly Late,35.28,179.4
Unemployed,Primary,6.04,5,43523,Bhadradri Kothagudem,Family,Car,1,31793,14799,No,Rarely Paid,34.15,162.75
Trader,12th,9.28,2,114157,Khammam,Own,Car,1,11040,9001,No,Rarely Paid,77.25,386.25
Unemployed,Graduate,5.56,2,85102,Khammam,Rent,2W,4,32432,289,No,Regularly Late,64.22,339.1
Labour,10th,14.42,5,92359,Kamareddy,Rent,None,2,26256,529,Yes,Sometimes Late,71.14,363.7
Government,Graduate,6.9,1,85683,Hyderabad,Family,None,2,39526,44473,Yes,Regularly Late,69.86,333.3
Labour,10th,19.94,5,54712,Siddipet,Rent,2W,4,16910,27638,No,Rarely Paid,60.6,313.0
Farmer,10th,10.58,5,46629,Jagtial,Family,None,4,29269,13572,No,Regularly Late,42.52,200.6
Government,Graduate,17.28,4,105362,Bhadradri Kothagudem,Family,Car,3,11353,47143,No,Regularly Late,82.59,417.95
Farmer,10th,4.76,0,36657,Nalgonda,Own,None,1,44964,11186,Yes,Always On Time,45.47,249.35
Labour,Primary,6.47,5,23903,Khammam,Own,Car,1,26332,35629,No,Regularly Late,24.99,113.95
Unemployed,Primary,15.06,1,21391,Siddipet,Rent,None,2,50599,36168,Yes,Rarely Paid,49.95,231.75
Farmer,Graduate,15.94,3,112584,Kamareddy,Rent,2W,3,47335,19245,No,Regularly Late,83.91,407.55
Gig Worker,12th,18.26,0,40796,Jagtial,Family,2W,2,29191,2391,Yes,Regularly Late,67.79,335.95
Gig Worker,Postgraduate,3.63,2,13349,Mahabubabad,Family,Car,4,8628,25580,No,Sometimes Late,25.45,141.25
Government,Graduate,13.41,3,48650,Bhadradri Kothagudem,Own,Car,4,31533,15498,Yes,Regularly Late,54.44,267.2
Farmer,Postgraduate,4.96,5,13863,Mahabubabad,Rent,None,4,29520,19725,No,Regularly Late,17.7,78.5
Farmer,Postgraduate,14.4,4,83549,Mahbubnagar,Family,Car,1,19854,21384,No,Regularly Late,70.04,369.2
Unemployed,Graduate,7.53,1,66902,Mancherial,Family,2W,3,13146,5584,Yes,Always On Time,61.41,299.05
Government,12th,10.96,0,66542,Medak,Family,None,2,30086,23351,No,Sometimes Late,69.71,369.55
Unemployed,10th,9.09,3,28945,Medchal,Family,Car,1,54315,39967,No,Sometimes Late,38.11,188.55
Labour,Graduate,8.85,5,106893,Mahbubnagar,Family,Car,4,7130,20568,Yes,Sometimes Late,66.61,333.05
Unemployed,12th,9.37,5,107966,Khammam,Rent,2W,2,55565,32220,No,Sometimes Late,67.39,335.95
Unemployed,Postgraduate,9.0,2,78145,Medak,Own,2W,1,7337,40349,Yes,Rarely Paid,65.91,348.55
Trader,Graduate,7.14,5,79095,Nizamabad,Own,Car,4,37116,30471,Yes,Rarely Paid,53.59,282.95
Farmer,Primary,19.66,3,37911,Siddipet,Family,Car,2,49956,47563,No,Rarely Paid,58.45,295.25
Unemployed,Primary,1.35,0,78332,Jagtial,Own,None,2,19394,5144,Yes,Regularly Late,61.19,294.95
Gig Worker,12th,12.76,1,27238,Medak,Rent,None,4,43685,31721,Yes,Rarely Paid,49.43,266.15
Gig Worker,Postgraduate,13.3,3,21557,Warangal,Own,Car,1,42568,30887,Yes,Regularly Late,40.73,178.65
Trader,10th,11.97,5,111745,Adilabad,Rent,Car,1,49088,46929,No,Rarely Paid,71.29,355.45
Government,10th,9.43,4,65869,Karimnagar,Family,2W,1,53450,3008,No,Regularly Late,53.75,249.75
Government,10th,5.99,1,111778,Mahbubnagar,Rent,Car,2,54064,48323,Yes,Always On Time,75.65,361.25
Government,Primary,15.68,0,12384,Medchal,Rent,2W,1,23313,32773,Yes,Rarely Paid,49.71,246.55
Farmer,Primary,8.56,3,100705,Karimnagar,Own,2W,3,13537,24606,No,Rarely Paid,72.84,339.2
Gig Worker,Postgraduate,12.42,4,88317,Khammam,Family,2W,3,39254,19164,No,Rarely Paid,69.46,365.3
Trader,10th,5.58,4,97313,Rangareddy,Family,2W,4,37109,6514,Yes,Always On Time,63.69,300.45
Unemployed,12th,1.82,3,37180,Mahabubabad,Rent,2W,3,47296,28404,Yes,Rarely Paid,31.32,154.6
Farmer,Postgraduate,10.95,3,18826,Hyderabad,Rent,2W,4,31790,44388,No,Sometimes Late,35.84,164.2
Government,Postgraduate,9.89,3,34124,Karimnagar,Own,None,3,38913,26139,No,Always On Time,41.9,200.5
Labour,Primary,10.96,0,82587,Bhadradri Kothagudem,Own,None,2,27052,21249,Yes,Rarely Paid,77.73,370.65
Farmer,Postgraduate,10.27,2,40427,Jagtial,Own,2W,3,12582,6940,No,Rarely Paid,48.95,253.75
Government,Graduate,5.2,1,84383,Medchal,Own,2W,1,56316,36482,Yes,Regularly Late,66.66,342.3
Trader,12th,0.98,5,40520,Warangal,Rent,2W,3,33197,21745,No,Rarely Paid,25.06,132.3
Farmer,Graduate,12.36,5,15574,Siddipet,Own,None,3,28899,20285,Yes,Always On Time,29.66,127.3
Government,Primary,19.25,5,68684,Nizamabad,Family,Car,4,20468,3474,Yes,Rarely Paid,66.55,348.75
Gig Worker,Postgraduate,10.85,0,86887,Nalgonda,Family,Car,1,30911,10207,Yes,Rarely Paid,79.72,411.6
Labour,10th,12.18,1,101500,Mancherial,Family,2W,3,19150,42079,No,Sometimes Late,84.94,439.7
Labour,10th,9.54,0,59369,Medak,Own,None,1,21376,2938,No,Rarely Paid,63.99,321.95
Unemployed,12th,9.72,3,101992,Nalgonda,Rent,Car,1,18325,36184,Yes,Regularly Late,74.58,353.9
Gig Worker,12th,19.59,3,10503,Khammam,Family,2W,3,59825,31479,Yes,Regularly Late,44.64,206.2
Gig Worker,12th,6.88,0,56983,Bhadradri Kothagudem,Own,Car,2,50258,45671,Yes,Rarely Paid,58.81,276.05
Unemployed,Primary,7.52,2,111684,Kamareddy,Own,Car,4,7789,35125,Yes,Regularly Late,74.61,359.05
Gig Worker,Primary,2.6,4,95997,Khammam,Rent,2W,4,27440,46979,Yes,Always On Time,58.57,300.85
Gig Worker,12th,8.43,5,48055,Mancherial,Own,2W,3,59177,40885,Yes,Always On Time,40.01,207.05
Labour,Primary,13.52,5,115950,Medchal,Own,Car,3,32449,49135,No,Regularly Late,73.61,390.05
Labour,Graduate,19.65,2,67536,Medak,Family,None,2,28108,32031,Yes,Always On Time,76.58,379.9
Labour,Primary,6.79,5,67774,Mahabubabad,Rent,2W,3,16170,47167,Yes,Rarely Paid,47.41,235.05
Unemployed,10th,7.55,3,43109,Rangareddy,Rent,Car,1,6388,8302,No,Always On Time,42.88,225.4
Gig Worker,Primary,8.81,5,85953,Nalgonda,Rent,None,4,38650,11275,No,Sometimes Late,59.52,306.6
Unemployed,12th,3.11,2,33063,Mahbubnagar,Rent,2W,4,24861,16794,Yes,Rarely Paid,34.53,190.65
Government,12th,6.58,5,35261,Mahbubnagar,Own,Car,3,7323,25301,Yes,Sometimes Late,30.83,168.15
Government,10th,9.16,4,55462,Mahbubnagar,Own,Car,1,46173,8553,No,Rarely Paid,48.14,236.7
Government,10th,18.51,1,15190,Medak,Own,None,4,18126,8354,Yes,Rarely Paid,52.03,261.15
Government,12th,15.98,2,110361,Mahabubabad,Rent,2W,3,7307,36567,No,Regularly Late,87.3,445.5
Unemployed,Graduate,9.12,3,59194,Nizamabad,Own,2W,4,52649,46071,Yes,Rarely Paid,53.28,241.4
Farmer,12th,10.66,1,68541,Mahbubnagar,Family,2W,2,55958,4986,No,Sometimes Late,66.93,343.65
Labour,Postgraduate,12.13,5,65118,Bhadradri Kothagudem,Own,2W,2,56244,34416,Yes,Regularly Late,54.09,281.45
Trader,10th,13.64,0,95173,Rangareddy,Own,Car,3,22617,43735,Yes,Rarely Paid,88.05,461.25
Government,12th,16.76,5,28766,Warangal,Family,Car,2,21580,12863,Yes,Rarely Paid,42.86,202.3
Unemployed,10th,3.21,5,107581,Karimnagar,Own,2W,4,28821,42283,No,Rarely Paid,58.15,267.75
Gig Worker,10th,7.8,2,93790,Mahabubabad,Rent,2W,3,7072,34435,Yes,Always On Time,71.93,334.65
Gig Worker,Graduate,18.17,3,31200,Bhadradri Kothagudem,Own,Car,2,23108,20357,Yes,Regularly Late,52.85,243.25
Unemployed,10th,4.54,3,31394,Nizamabad,Family,None,3,56339,3018,Yes,Regularly Late,32.51,162.55
Government,Primary,8.46,5,93803,Medchal,Rent,Car,2,38681,6043,No,Regularly Late,62.92,302.6
Labour,Primary,14.86,1,49583,Hyderabad,Family,2W,3,19568,4739,Yes,Rarely Paid,63.75,331.75
Unemployed,Postgraduate,6.73,3,45592,Nizamabad,Own,2W,1,53049,32067,No,Always On Time,42.89,215.45
Labour,10th,15.85,2,117100,Hyderabad,Own,2W,4,56612,48711,No,Always On Time,87.11,418.55
Government,Primary,1.24,3,30468,Warangal,Family,None,4,30472,2403,No,Sometimes Late,27.09,124.45
Unemployed,10th,13.97,1,104446,Nizamabad,Rent,Car,2,26637,39344,No,Regularly Late,87.62,427.1
Labour,Graduate,4.2,4,107879,Mahabubabad,Rent,None,1,16607,4390,No,Sometimes Late,62.97,314.85
Government,12th,9.43,2,33183,Kamareddy,Rent,Car,3,44579,14994,Yes,Always On Time,44.07,236.35
Trader,12th,12.0,1,14330,Rangareddy,Family,2W,1,13371,24682,No,Sometimes Late,41.83,196.15
Labour,12th,1.25,5,15919,Kamareddy,Own,Car,3,33527,7227,No,Always On Time,13.17,71.85
Gig Worker,Graduate,19.41,2,108654,Jagtial,Rent,2W,2,18203,12688,Yes,Sometimes Late,92.45,475.25
Trader,Postgraduate,16.27,1,55190,Nizamabad,Family,Car,3,26730,16691,No,Rarely Paid,68.67,366.35
Trader,10th,1.84,1,27138,Kamareddy,Own,Car,2,22816,31762,No,Rarely Paid,33.0,171.0
Farmer,Postgraduate,8.82,5,78493,Karimnagar,Own,Car,1,16589,26704,No,Rarely Paid,55.81,257.05
Labour,10th,18.31,1,87479,Warangal,Rent,Car,1,54845,21703,No,Regularly Late,87.87,443.35
Labour,10th,1.61,2,107249,Hyderabad,Family,Car,3,18642,14817,Yes,Sometimes Late,65.75,339.75
Trader,10th,0.36,0,65464,Khammam,Rent,None,4,38968,44560,No,Always On Time,53.27,263.35
Labour,12th,14.13,2,60177,Adilabad,Own,None,1,32605,2883,Yes,Sometimes Late,64.62,336.1
Unemployed,Postgraduate,15.52,0,79135,Karimnagar,Own,Car,4,31070,3004,Yes,Always On Time,82.85,433.25
Labour,12th,7.94,2,113712,Siddipet,Family,None,1,36754,10074,No,Rarely Paid,75.24,365.2
Farmer,Postgraduate,12.82,4,11023,Warangal,Rent,Car,1,56833,26781,Yes,Rarely Paid,31.41,174.05
Unemployed,Primary,2.15,5,62242,Warangal,Own,Car,1,16662,4159,Yes,Sometimes Late,37.68,191.4
Labour,Postgraduate,16.98,1,111281,Nizamabad,Family,2W,4,9759,24296,No,Rarely Paid,92.14,470.7
Gig Worker,12th,17.29,4,86472,Warangal,Family,None,2,33139,18327,No,Rarely Paid,75.84,366.2
Labour,12th,18.96,2,94800,Medchal,Family,Car,2,50890,41246,No,Rarely Paid,89.17,451.85
Farmer,Postgraduate,14.73,1,92065,Medchal,Rent,None,1,42909,44621,No,Always On Time,84.79,404.95
Labour,12th,12.73,0,83937,Mancherial,Own,Car,3,59815,4341,Yes,Sometimes Late,81.06,401.3
Gig Worker,Primary,7.28,0,59227,Warangal,Rent,Car,4,10899,38534,No,Always On Time,60.53,304.65
Trader,Primary,5.14,5,83104,Khammam,Rent,2W,1,53069,31010,Yes,Regularly Late,52.6,239.0
Gig Worker,10th,3.12,4,92706,Adilabad,Rent,2W,4,34005,642,No,Sometimes Late,57.7,304.5
Unemployed,10th,5.08,0,32254,Nizamabad,Own,None,3,35153,34917,Yes,Always On Time,43.75,237.75
Farmer,10th,3.2,2,117014,Medak,Family,Car,3,36695,16842,Yes,Rarely Paid,68.13,320.65
Unemployed,10th,15.03,4,51187,Nizamabad,Own,None,2,13849,4110,Yes,Rarely Paid,54.81,276.05
Government,Primary,17.13,5,66134,Siddipet,Family,Car,3,19186,20498,Yes,Always On Time,62.1,312.5
Gig Worker,Primary,13.87,4,64099,Rangareddy,Own,None,4,26746,1297,Yes,Always On Time,59.52,315.6
Government,Postgraduate,16.53,4,16183,Jagtial,Own,Car,3,38657,9789,No,Regularly Late,39.55,215.75
Trader,Primary,18.32,1,83623,Mancherial,Family,Car,4,44699,35755,Yes,Regularly Late,85.96,423.8
Government,10th,14.59,3,39567,Nizamabad,Own,Car,3,12089,43099,No,Regularly Late,51.67,262.35
Farmer,12th,2.48,3,104180,Siddipet,Rent,None,2,18974,8170,Yes,Sometimes Late,63.72,303.6
Gig Worker,12th,19.36,1,12391,Bhadradri Kothagudem,Family,None,4,53587,33745,No,Regularly Late,51.9,261.5
Government,10th,14.23,3,24169,Karimnagar,Own,Car,2,39801,14483,Yes,Sometimes Late,43.43,216.15
Trader,Primary,5.71,2,99919,Siddipet,Own,2W,3,58103,38120,Yes,Rarely Paid,71.86,372.3
Government,Primary,8.85,0,53274,Jagtial,Rent,Car,2,7399,23591,Yes,Always On Time,59.91,306.55
Unemployed,10th,5.66,2,8173,Nizamabad,Family,2W,1,46557,30584,Yes,Sometimes Late,25.91,104.55
Trader,12th,18.25,3,114004,Warangal,Rent,Car,4,20149,10086,No,Rarely Paid,87.37,437.85
Unemployed,12th,16.1,3,77057,Kamareddy,Own,None,2,7765,22902,No,Sometimes Late,72.68,350.4
Unemployed,Primary,3.51,1,58124,Hyderabad,Own,2W,4,47538,44095,Yes,Regularly Late,50.99,269.95
Unemployed,12th,13.24,3,34725,Karimnagar,Rent,None,3,54823,41806,Yes,Regularly Late,47.22,213.1
Trader,Graduate,1.73,1,22324,Medchal,Own,2W,3,48987,15964,No,Always On Time,30.42,165.1
Unemployed,Postgraduate,6.63,1,13977,Hyderabad,Family,2W,3,9742,40630,No,Rarely Paid,33.6,148.0
Gig Worker,12th,18.48,1,45933,Nizamabad,Own,2W,2,44732,47200,No,Always On Time,67.35,318.75
Labour,Graduate,3.0,1,59299,Khammam,Family,2W,4,54538,17197,No,Always On Time,50.82,255.1
Unemployed,Postgraduate,15.91,5,23554,Karimnagar,Family,Car,4,4031,38021,Yes,Rarely Paid,38.98,177.9
Unemployed,12th,18.31,5,74086,Rangareddy,Own,2W,2,12179,35686,Yes,Sometimes Late,67.84,350.2
Trader,Graduate,17.64,5,41798,Hyderabad,Own,2W,4,8276,150,Yes,Always On Time,50.69,260.45
Trader,10th,19.05,1,15979,Nizamabad,Family,Car,3,20613,43215,No,Always On Time,53.23,282.15
Farmer,Postgraduate,11.07,1,102962,Rangareddy,Own,2W,2,32331,43020,No,Regularly Late,83.27,434.35
Labour,Graduate,7.71,4,111452,Medchal,Own,Car,4,40057,33920,Yes,Always On Time,68.23,339.15
Unemployed,10th,1.69,0,35424,Medchal,Own,Car,2,5678,4332,No,Always On Time,40.25,190.25
Unemployed,Postgraduate,19.09,0,96983,Adilabad,Rent,2W,3,29907,28254,Yes,Always On Time,97.13,491.65
Gig Worker,Primary,4.21,4,18879,Kamareddy,Own,Car,1,23925,5724,No,Regularly Late,22.42,118.1
Unemployed,Graduate,3.66,5,23480,Nalgonda,Own,2W,3,53462,23645,No,Rarely Paid,20.56,100.8
Unemployed,Graduate,12.9,3,53421,Nizamabad,Rent,2W,2,23476,7132,Yes,Always On Time,56.06,295.3
Unemployed,10th,6.13,1,104252,Adilabad,Own,None,1,24334,37456,Yes,Rarely Paid,75.86,402.3
Unemployed,10th,12.23,4,43361,Adilabad,Own,None,2,55202,3757,Yes,Regularly Late,46.69,256.45
Gig Worker,Graduate,5.11,0,77313,Jagtial,Own,None,1,19768,33367,Yes,Regularly Late,66.32,317.6
Unemployed,Primary,13.77,0,49101,Nizamabad,Family,None,2,47153,49425,No,Regularly Late,65.21,339.05
Gig Worker,12th,1.95,4,10912,Karimnagar,Family,2W,1,22820,40215,No,Always On Time,15.05,51.25
Farmer,12th,4.74,4,104288,Warangal,Family,Car,1,5200,24496,No,Regularly Late,63.78,295.9
Government,10th,15.73,5,47545,Medak,Own,2W,1,20671,19823,Yes,Sometimes Late,50.7,276.5
Farmer,Graduate,17.56,3,88867,Medak,Family,None,3,11291,9000,Yes,Rarely Paid,80.77,414.85
Government,Graduate,16.35,5,64802,Kamareddy,Own,2W,3,5925,6311,Yes,Rarely Paid,60.26,324.3
Government,10th,1.63,5,78368,Adilabad,Own,None,4,25883,10526,No,Regularly Late,44.96,215.8
Farmer,Postgraduate,0.26,2,36047,Nalgonda,Rent,Car,1,11113,12666,Yes,Rarely Paid,31.75,181.75
Unemployed,Primary,4.32,0,32795,Mahbubnagar,Rent,2W,3,38871,3295,Yes,Always On Time,42.88,190.4
Labour,Postgraduate,12.52,4,61646,Kamareddy,Rent,Car,4,9885,5162,No,Regularly Late,56.27,257.35
Government,12th,9.42,5,41760,Adilabad,Family,Car,1,59298,5685,Yes,Rarely Paid,38.34,193.7
Trader,Primary,8.33,0,53424,Kamareddy,Own,2W,1,49773,2114,No,Regularly Late,59.21,293.05
Labour,10th,9.52,1,44074,Jagtial,Family,None,2,53269,17614,Yes,Sometimes Late,52.98,275.9
Unemployed,Graduate,11.41,2,58599,Adilabad,Family,None,4,54319,38061,Yes,Rarely Paid,59.75,304.75
Government,12th,18.71,4,39774,Kamareddy,Family,None,3,45505,12452,Yes,Always On Time,54.62,280.1
Unemployed,Primary,9.62,1,43068,Medak,Own,Car,2,24266,34682,Yes,Sometimes Late,52.63,238.15
Gig Worker,Primary,9.03,4,19253,Nizamabad,Rent,Car,3,3238,459,Yes,Rarely Paid,29.84,142.2
Labour,Postgraduate,18.43,3,98035,Mahabubabad,Own,2W,3,34165,16355,No,Regularly Late,86.66,409.3
Unemployed,Graduate,5.74,5,117706,Jagtial,Rent,2W,1,55655,28987,Yes,Sometimes Late,61.94,327.7
Unemployed,Postgraduate,2.66,5,113712,Mancherial,Family,2W,4,3253,35332,No,Regularly Late,57.32,286.6
Unemployed,Graduate,3.52,0,67381,Mancherial,Family,None,2,26918,6004,No,Always On Time,58.97,300.85
Labour,12th,6.61,5,53403,Khammam,Own,None,1,42688,48379,No,Sometimes Late,39.95,179.75
Government,10th,13.78,3,54093,Mancherial,Rent,2W,1,49064,3610,No,Rarely Paid,57.72,294.6
Farmer,Postgraduate,8.71,4,117146,Medak,Own,2W,1,23653,31738,Yes,Rarely Paid,69.73,326.65
Trader,Graduate,8.57,3,42283,Mahbubnagar,Rent,None,4,5534,39928,No,Always On Time,44.0,205.0
Labour,Primary,12.29,0,57344,Nalgonda,Family,2W,3,37105,16536,No,Sometimes Late,67.11,326.55
Labour,Graduate,18.65,5,31561,Kamareddy,Family,None,4,11724,26212,No,Always On Time,47.09,247.45
Labour,Primary,12.89,2,78559,Kamareddy,Own,2W,1,44925,40613,No,Always On Time,71.95,357.75
Labour,Graduate,18.62,4,98671,Khammam,Family,Car,2,31453,10,No,Always On Time,83.93,398.65
Government,12th,5.97,1,76389,Mahabubabad,Own,None,1,56906,30506,No,Always On Time,63.82,327.1
Trader,10th,16.53,2,42662,Mancherial,Own,Car,4,28105,5606,Yes,Rarely Paid,59.46,277.3
Government,Primary,1.78,0,20702,Medak,Rent,None,3,11450,32922,No,Always On Time,33.02,161.1
